decil,clientes,suscripciones,tasa,lift,recall_acumulado
1,824,444,0.5388349514563107,4.782160194174757,0.47844827586206895
2,824,164,0.19902912621359223,1.766383495145631,0.6551724137931034
3,823,68,0.08262454434993925,0.7332928311057109,0.728448275862069
4,824,42,0.050970873786407765,0.4523665048543689,0.7737068965517241
5,823,48,0.0583232077764277,0.5176184690157959,0.8254310344827587
6,824,33,0.04004854368932039,0.35543082524271846,0.8609913793103449
7,824,40,0.04854368932038835,0.4308252427184466,0.9040948275862069
8,823,33,0.040097205346294046,0.35586269744835963,0.9396551724137931
9,824,26,0.03155339805825243,0.2800364077669903,0.9676724137931034
10,823,30,0.03645200486026731,0.3235115431348724,1.0
