,mean_abs_shap,direccion_media
nr.employed,0.02693594917496646,0.001156190388990401
emp.var.rate,0.022728088343365146,-0.00021425791292844706
euribor3m,0.015826891634680845,0.0073337646999258165
contact,0.014519556408821823,-0.0030845936297083324
month,0.011999580723396717,-0.0011974138347953989
poutcome,0.009807443160762147,0.0005129399394492644
contactado_antes,0.00781935362280646,0.0003256915952083085
dias_desde_contacto,0.00739665591614729,-1.2879026054802011e-05
age,0.006569942564657878,0.000448102792815103
cons.conf.idx,0.005584196666087215,0.0017600770488931173
day_of_week,0.005429740316900046,0.0005470926083098583
cons.price.idx,0.005192229608156521,0.002452703163869312
job,0.004086673236111512,0.000601127272115195
education,0.0038318788521730968,0.00029252943732928653
default,0.0036895109941454274,-0.00024531510476148504
marital,0.003053356724899582,0.0002764760944635297
campaign,0.002861496491960759,0.0003497804822120424
housing,0.0025607089365806703,-5.351765917103722e-05
loan,0.0016308993945525713,-0.00012125790398146384
previous,0.0014927896860032512,-6.836766929539034e-05
