,shap,valor
age,0.045652049480963824,59
emp.var.rate,0.033218318679755755,-1.8
day_of_week,-0.014922132671640474,mon
contact,0.009535067933570023,cellular
cons.conf.idx,0.008731834352924682,-47.1
default,0.008239372172937704,no
job,-0.007881577805921658,technician
cons.price.idx,0.006516543189498843,93.075
euribor3m,0.006476075048704996,1.405
marital,-0.00466143425167799,divorced
contactado_antes,-0.003919793728866261,0
campaign,0.003772475059447083,1
dias_desde_contacto,-0.003503017857084024,0
nr.employed,-0.00256746974230283,5099.1
education,-0.0024570290414041773,professional.course
month,0.002443705225975158,apr
poutcome,0.0024091737531606408,nonexistent
previous,0.002313832269473333,0
housing,-0.0016992083030553692,no
loan,-0.0010385848933201615,no
